rank,template_action,count,suggested_alias_id
189,iot面板hvac按鈕由藍轉白,1,KW-ALIAS-GENERIC-ACTION
190,lcd面板 mode & fan default = off & low 與 上一次設定切換,1,KW-ALIAS-DEVICE-STATE
191,步驟 {n}: 選取進入option | 預期結果: 選取方塊 外框為白色 選定為白底黑字,1,KW-ALIAS-GENERIC-ACTION
192,進入version,1,KW-ALIAS-GENERIC-ACTION
193,lcd 主頁 fresh,1,KW-ALIAS-DEVICE-STATE
194,lcd 主頁 gray,1,KW-ALIAS-DEVICE-STATE
195,lcd 主頁 black,1,KW-ALIAS-DEVICE-STATE
196,lcd 主頁 black_{n},1,KW-ALIAS-DEVICE-STATE
197,將 gray{n} 選取為 disable,1,KW-ALIAS-GENERIC-ACTION
198,預設值 device log sharing 為on,1,KW-ALIAS-GENERIC-ACTION
199,隔天看hvac bug#{n} | 預期結果: 沒有開啟hvac,1,KW-ALIAS-GENERIC-ACTION
200,在my rv 頁面,1,KW-ALIAS-GENERIC-ACTION
